customer_id,transaction_date,product_category,amount,city,payment_type,anomaly
C0080,2025-08-08,Electronics,17.84,London,Card,False
C0081,2025-10-19,Groceries,29.12,Manchester,Cash,False
C0082,2025-07-18,Books,4.06,Glasgow,Cash,False
C0083,2025-07-26,Groceries,47.61,Belfast,Online,False
C0084,2025-07-11,Apparel,110.64,London,Card,True
C0085,2025-07-27,Groceries,78.43,Manchester,Online,False
C0086,2025-11-27,Apparel,68.8,Manchester,Card,False
C0087,2025-06-02,Groceries,12.4,Manchester,Cash,False
C0088,2026-04-05,Apparel,64.29,Manchester,Cash,False
C0089,2025-05-25,Apparel,1028.8,London,Card,True
C0090,2025-08-16,Electronics,45.35,London,Card,False
C0091,2025-06-26,Electronics,78.32,London,Cash,False
C0092,2026-01-09,Electronics,30.63,Belfast,Cash,False
C0093,2025-09-30,Groceries,14.09,Glasgow,Online,False
C0094,2025-09-23,Apparel,70.41,Glasgow,Online,False
C0095,2025-11-12,Apparel,31.31,London,Online,False
C0096,2025-10-01,Groceries,187.38,Belfast,Online,True
C0097,2025-11-15,Apparel,37.37,Glasgow,Cash,False
C0098,2025-10-20,Books,1.57,Glasgow,Cash,False
C0099,2025-05-14,Books,6.95,London,Card,False
C0100,2025-10-18,Groceries,11.47,Belfast,Cash,False
C0101,2025-07-03,Apparel,6.31,Belfast,Card,False
C0102,2025-11-28,Books,8.0,Manchester,Card,False
C0103,2025-10-20,Apparel,31.65,Belfast,Card,False
C0104,2025-08-22,Electronics,22.91,Belfast,Online,False
C0105,2025-05-17,Groceries,3.16,Glasgow,Online,False
C0106,2025-11-17,Apparel,34.03,Glasgow,Card,False
C0107,2025-11-04,Groceries,18.1,Manchester,Card,False
C0108,2025-09-24,Apparel,2.49,London,Online,False
C0109,2026-02-26,Electronics,19.12,Manchester,Cash,False
C0110,2025-07-27,Groceries,28.73,Belfast,Online,False
C0111,2025-07-11,Books,143.82,Glasgow,Online,True
C0112,2025-07-28,Books,72.21,Glasgow,Card,False
C0113,2025-09-02,Books,9.12,Belfast,Cash,False
C0114,2025-05-26,Books,56.32,London,Cash,False
C0115,2026-01-24,Electronics,71.29,Belfast,Cash,False
C0116,2025-10-04,Groceries,20.49,London,Online,False
C0117,2025-11-29,Books,7.28,Glasgow,Cash,False
C0118,2025-10-26,Electronics,87.52,Manchester,Card,False
C0119,2025-09-15,Groceries,36.41,London,Online,False
C0120,2025-09-30,Apparel,158.96,Manchester,Card,True
C0121,2025-11-23,Books,28.6,Belfast,Cash,False
C0122,2025-06-19,Apparel,25.57,London,Cash,False
C0123,2025-12-09,Books,69.02,Manchester,Cash,False
C0124,2026-02-04,Books,159.66,London,Online,True
C0125,2025-09-19,Electronics,1.24,Glasgow,Online,False
C0126,2025-09-16,Apparel,0.96,London,Cash,False
C0127,2025-12-07,Electronics,17.18,London,Cash,False
C0128,2025-10-13,Apparel,29.46,Glasgow,Cash,False
C0129,2025-11-25,Apparel,37.4,Belfast,Cash,False
C0130,2025-09-27,Groceries,4.24,Belfast,Online,False
C0131,2026-03-05,Apparel,37.83,Belfast,Card,False
C0132,2025-06-12,Books,22.14,Manchester,Card,False
C0133,2025-06-25,Apparel,58.91,Glasgow,Cash,False
C0134,2025-05-27,Apparel,52.36,London,Online,False
C0135,2025-07-08,Electronics,12.14,Manchester,Card,False
C0136,2025-12-27,Apparel,10.22,Belfast,Cash,False
C0137,2026-01-11,Books,43.27,London,Card,False
C0138,2025-11-18,Electronics,55.93,Belfast,Online,False
C0139,2026-03-19,Apparel,35.88,Belfast,Cash,False
C0140,2026-03-18,Apparel,5.61,Belfast,Online,False
C0141,2025-09-23,Books,17.54,Glasgow,Card,False
C0142,2025-10-11,Books,96.94,Belfast,Online,False
C0143,2025-09-30,Books,187.33,Belfast,Cash,True
C0144,2025-06-30,Apparel,38.84,Manchester,Card,False
C0145,2025-12-04,Apparel,234.71,Glasgow,Cash,True
C0146,2025-09-06,Electronics,62.78,Manchester,Cash,False
C0147,2026-01-04,Apparel,25.64,London,Cash,False
C0148,2025-06-16,Books,16.76,Belfast,Cash,False
C0149,2025-09-10,Books,151.31,Glasgow,Online,True
C0150,2025-12-11,Books,20.33,Manchester,Online,False
C0151,2025-10-13,Apparel,6.79,Belfast,Card,False
C0152,2025-12-31,Books,159.87,Glasgow,Online,True
C0153,2025-08-05,Books,29.98,Glasgow,Online,False
C0154,2025-07-06,Groceries,10.8,Manchester,Online,False
C0155,2025-07-19,Electronics,54.29,Manchester,Card,False
C0156,2025-06-07,Electronics,143.67,Glasgow,Online,True
C0157,2025-12-01,Books,1.47,London,Online,False
C0158,2026-01-14,Groceries,43.76,London,Card,False
C0159,2025-06-22,Electronics,39.99,London,Cash,False
C0160,2025-06-02,Apparel,13.27,Glasgow,Card,False
C0161,2025-05-06,Books,24.72,Belfast,Card,False
C0162,2025-12-31,Groceries,2.85,London,Cash,False
C0163,2025-07-16,Apparel,45.81,Manchester,Cash,False
C0164,2025-05-17,Books,0.41,Manchester,Card,False
C0165,2025-07-02,Groceries,29.99,Belfast,Card,False
C0166,2025-04-18,Apparel,10.74,Belfast,Card,False
C0167,2025-06-12,Books,13.5,London,Cash,False
C0168,2025-09-20,Groceries,124.18,Glasgow,Cash,True
C0169,2026-01-07,Groceries,62.93,Manchester,Online,False
C0170,2025-12-10,Books,16.54,Belfast,Card,False
C0171,2026-04-06,Groceries,26.92,London,Cash,False
C0172,2025-07-10,Books,10.67,Glasgow,Online,False
C0173,2025-06-03,Groceries,17.68,Manchester,Cash,False
C0174,2025-11-08,Books,50.82,Manchester,Online,False
C0175,2025-05-30,Apparel,83.05,Belfast,Cash,False
C0176,2025-06-01,Groceries,63.27,Glasgow,Card,False
C0177,2025-06-07,Books,53.13,London,Online,False
C0178,2026-03-17,Electronics,58.51,London,Cash,False
C0179,2025-08-09,Groceries,51.41,Belfast,Cash,False
C0180,2025-12-20,Groceries,48.78,Glasgow,Card,False
C0181,2025-11-12,Books,49.82,Glasgow,Card,False
C0182,2026-01-28,Electronics,4.78,Manchester,Cash,False
C0183,2026-02-16,Books,3.08,Manchester,Cash,False
C0184,2025-04-25,Groceries,2.37,Belfast,Card,False
C0185,2025-11-08,Books,62.5,Manchester,Cash,False
C0186,2025-04-10,Books,13.73,Glasgow,Card,False
C0187,2025-05-15,Groceries,9.59,Manchester,Cash,False
C0188,2026-01-17,Books,46.29,Manchester,Card,False
C0189,2025-07-28,Apparel,34.38,Glasgow,Card,False
C0190,2025-08-05,Apparel,35.25,Manchester,Card,False
C0191,2025-10-11,Groceries,141.04,Belfast,Cash,True
C0192,2026-02-05,Books,10.92,Glasgow,Cash,False
C0193,2025-07-12,Books,51.26,London,Online,False
C0194,2025-11-06,Groceries,82.41,Belfast,Cash,False
C0195,2025-06-30,Electronics,3.24,Glasgow,Card,False
C0196,2026-03-20,Apparel,89.23,London,Cash,False
C0197,2026-04-05,Groceries,76.89,Manchester,Card,False
C0198,2025-07-05,Groceries,53.72,Glasgow,Online,False
C0199,2025-05-01,Groceries,14.73,Glasgow,Cash,False
C0200,2025-10-30,Groceries,2.19,London,Online,False
C0201,2025-06-19,Groceries,0.65,Belfast,Card,False
C0202,2026-01-23,Apparel,30.92,Belfast,Card,False
C0203,2025-07-13,Electronics,49.95,Belfast,Card,False
C0204,2026-01-02,Books,56.52,Glasgow,Online,False
C0205,2025-07-23,Groceries,37.32,Manchester,Cash,False
C0206,2025-06-26,Electronics,15.72,Belfast,Cash,False
C0207,2026-02-11,Books,9.61,London,Card,False
C0208,2025-10-23,Books,65.24,London,Online,False
C0209,2026-03-10,Electronics,13.05,Glasgow,Online,False
C0210,2025-08-21,Apparel,18.36,Belfast,Card,False
C0211,2025-04-07,Apparel,106.74,Glasgow,Online,True
C0212,2025-06-17,Electronics,9.54,Manchester,Card,False
C0213,2026-01-09,Groceries,13.85,Belfast,Online,False
C0214,2026-02-18,Electronics,4.65,Manchester,Card,False
C0215,2025-08-20,Apparel,102.68,Glasgow,Online,False
C0216,2025-12-25,Apparel,89.92,Manchester,Card,False
C0217,2025-08-29,Electronics,30.09,London,Card,False
C0218,2025-04-11,Books,132.52,Manchester,Online,True
C0219,2025-08-23,Groceries,105.36,Belfast,Cash,False
C0220,2025-08-07,Electronics,43.18,Manchester,Cash,False
C0221,2025-09-02,Electronics,38.1,Belfast,Online,False
C0222,2025-04-15,Electronics,55.89,London,Card,False
C0223,2025-04-19,Electronics,32.71,Glasgow,Online,False
C0224,2025-06-18,Apparel,37.23,Manchester,Cash,False
C0225,2025-08-28,Apparel,27.15,London,Cash,False
C0226,2025-11-27,Books,56.11,London,Cash,False
C0227,2025-12-07,Electronics,9.63,London,Cash,False
C0228,2025-04-30,Books,80.08,London,Card,False
C0229,2025-10-17,Electronics,32.28,Glasgow,Cash,False
C0230,2026-04-07,Books,46.05,Manchester,Cash,False
C0231,2025-11-07,Groceries,34.96,Glasgow,Online,False
C0232,2025-07-07,Electronics,75.86,Belfast,Cash,False
C0233,2025-07-15,Groceries,41.0,London,Online,False
C0234,2025-11-05,Apparel,11.34,Manchester,Online,False
C0235,2025-12-16,Electronics,34.57,Glasgow,Online,False
C0236,2025-11-04,Groceries,57.34,London,Online,False
C0237,2025-05-07,Groceries,66.92,Belfast,Cash,False
C0238,2025-08-10,Electronics,61.72,London,Card,False
C0239,2025-04-13,Apparel,86.39,London,Cash,False
C0240,2025-07-11,Groceries,100.82,Belfast,Cash,False
C0241,2025-07-22,Groceries,50.81,Manchester,Online,False
C0242,2025-10-25,Books,43.49,Glasgow,Card,False
C0243,2025-07-10,Groceries,76.33,Glasgow,Card,False
C0244,2025-12-08,Apparel,6.92,Belfast,Card,False
C0245,2025-07-09,Groceries,3.36,Manchester,Cash,False
C0246,2025-08-11,Books,8.91,London,Cash,False
C0247,2025-11-11,Electronics,78.62,London,Online,False
C0248,2025-04-09,Books,13.21,London,Card,False
C0249,2025-05-17,Apparel,32.04,Manchester,Cash,False
C0250,2025-07-07,Electronics,50.09,Belfast,Card,False
C0251,2025-05-16,Books,85.78,Manchester,Card,False
C0252,2025-05-28,Books,12.21,Manchester,Cash,False
C0253,2026-03-25,Apparel,0.7,Belfast,Cash,False
C0254,2025-08-23,Books,42.6,Glasgow,Cash,False
C0255,2026-02-16,Apparel,31.27,London,Card,False
C0256,2025-08-15,Electronics,26.4,London,Online,False
C0257,2026-02-08,Apparel,103.18,London,Card,False
C0258,2025-06-13,Books,170.75,London,Cash,True
C0259,2025-06-01,Electronics,11.05,London,Card,False
C0260,2025-05-26,Books,6.74,Glasgow,Card,False
C0261,2025-04-21,Apparel,8.67,Belfast,Online,False
C0262,2025-10-11,Groceries,53.87,Glasgow,Online,False
C0263,2026-04-06,Electronics,33.99,Glasgow,Card,False
C0264,2025-05-23,Electronics,51.31,Belfast,Cash,False
C0265,2025-11-24,Electronics,0.77,Glasgow,Cash,False
C0266,2025-09-14,Groceries,185.86,Glasgow,Card,True
C0267,2026-03-20,Apparel,63.83,Manchester,Cash,False
C0268,2026-01-17,Electronics,102.15,Glasgow,Cash,False
C0269,2025-05-04,Electronics,42.68,Belfast,Cash,False
C0270,2025-06-19,Apparel,41.9,Manchester,Card,False
C0271,2025-07-12,Electronics,43.86,Belfast,Cash,False
C0272,2025-08-20,Electronics,7.84,Belfast,Online,False
C0273,2025-08-24,Apparel,22.53,Manchester,Online,False
C0274,2025-05-22,Books,10.61,Belfast,Cash,False
C0275,2025-09-06,Books,42.42,Belfast,Cash,False
C0276,2025-09-06,Books,47.65,Belfast,Cash,False
C0277,2025-08-14,Books,5.88,Glasgow,Online,False
C0278,2025-05-14,Groceries,26.55,Manchester,Cash,False
C0279,2025-10-11,Apparel,147.81,Manchester,Cash,True
C0280,2025-05-21,Electronics,114.87,Belfast,Cash,True
C0281,2025-07-31,Electronics,6.93,London,Cash,False
C0282,2026-03-07,Apparel,7.85,Manchester,Cash,False
C0283,2025-07-20,Electronics,49.23,Glasgow,Cash,False
C0284,2025-11-29,Books,91.38,Glasgow,Cash,False
C0285,2025-05-05,Books,50.52,London,Card,False
C0286,2025-04-16,Apparel,265.52,Belfast,Online,True
C0287,2025-12-21,Books,6.16,Manchester,Cash,False
C0288,2025-12-03,Electronics,33.33,Manchester,Cash,False
C0289,2025-06-11,Books,12.04,Belfast,Online,False
C0290,2025-05-31,Books,165.56,London,Card,True
C0291,2025-11-22,Electronics,61.86,Manchester,Online,False
C0292,2025-08-30,Electronics,33.81,Belfast,Cash,False
C0293,2025-07-01,Apparel,9.92,London,Cash,False
C0294,2025-10-22,Groceries,25.07,Manchester,Cash,False
C0295,2025-10-13,Apparel,15.13,Belfast,Cash,False
C0296,2026-01-09,Books,34.79,Glasgow,Online,False
C0297,2026-01-26,Apparel,9.63,Manchester,Online,False
C0298,2025-05-30,Groceries,51.2,Belfast,Online,False
C0299,2025-11-08,Electronics,20.78,Manchester,Cash,False
C0300,2025-10-27,Groceries,68.59,London,Online,False
C0301,2025-09-14,Groceries,1.2,Belfast,Online,False
C0302,2026-03-31,Books,51.97,Manchester,Card,False
C0303,2025-07-07,Electronics,138.02,London,Cash,True
C0304,2025-12-29,Groceries,101.22,Manchester,Online,False
C0305,2026-03-06,Groceries,1.16,Glasgow,Online,False
C0306,2025-11-26,Apparel,51.21,Glasgow,Online,False
C0307,2026-03-21,Apparel,6.21,London,Online,False
C0308,2025-12-01,Groceries,0.82,London,Cash,False
C0309,2025-08-10,Groceries,24.87,Glasgow,Card,False
C0310,2025-12-21,Apparel,152.8,Manchester,Card,True
C0311,2026-03-17,Books,19.84,London,Online,False
C0312,2025-07-28,Apparel,3.17,Glasgow,Cash,False
C0313,2025-05-12,Apparel,49.74,Glasgow,Card,False
C0314,2025-05-12,Electronics,6.18,Glasgow,Card,False
C0315,2025-08-01,Apparel,7.23,Manchester,Online,False
C0316,2025-11-15,Groceries,214.11,Belfast,Online,True
C0317,2025-05-21,Groceries,25.33,London,Card,False
C0318,2025-11-05,Groceries,67.13,Manchester,Online,False
C0319,2025-10-02,Books,1.7,London,Card,False
C0320,2025-08-19,Apparel,28.32,Manchester,Card,False
C0321,2026-03-25,Electronics,71.85,Manchester,Card,False
C0322,2025-06-25,Apparel,26.77,London,Cash,False
C0323,2026-02-07,Groceries,101.25,Belfast,Cash,False
C0324,2025-08-30,Apparel,182.91,Belfast,Cash,True
C0325,2025-05-17,Books,90.27,London,Online,False
C0326,2025-08-31,Books,42.1,Glasgow,Cash,False
C0327,2025-10-10,Books,16.54,Manchester,Card,False
C0328,2025-11-01,Electronics,27.73,Glasgow,Card,False
C0329,2026-03-24,Apparel,32.29,Manchester,Cash,False
C0330,2025-09-08,Apparel,24.09,Glasgow,Card,False
C0331,2025-07-24,Electronics,130.26,Belfast,Card,True
C0332,2025-05-11,Groceries,9.25,Glasgow,Online,False
C0333,2025-08-07,Books,54.03,London,Online,False
C0334,2025-04-27,Groceries,123.19,London,Cash,True
C0335,2025-08-30,Books,42.45,Glasgow,Online,False
C0336,2026-03-15,Books,12.83,London,Card,False
C0337,2025-11-30,Apparel,66.46,Belfast,Card,False
C0338,2025-08-12,Books,41.46,Manchester,Online,False
C0339,2025-04-22,Electronics,2.88,London,Online,False
C0340,2026-02-09,Groceries,84.57,London,Cash,False
C0341,2026-03-16,Electronics,49.47,Glasgow,Card,False
C0342,2026-04-05,Electronics,12.88,Glasgow,Cash,False
C0343,2026-02-10,Apparel,86.69,Belfast,Cash,False
C0344,2025-04-11,Apparel,20.57,London,Card,False
C0345,2025-07-25,Books,30.67,London,Card,False
C0346,2025-04-11,Books,56.27,London,Online,False
C0347,2025-08-14,Electronics,53.4,Belfast,Online,False
C0348,2025-06-13,Electronics,71.14,London,Cash,False
C0349,2025-09-27,Apparel,119.74,Belfast,Online,True
C0350,2026-04-05,Apparel,9.01,Manchester,Online,False
C0351,2025-08-23,Books,78.66,Manchester,Card,False
C0352,2025-05-11,Apparel,2.23,Belfast,Card,False
C0353,2025-07-08,Electronics,40.63,Glasgow,Online,False
C0354,2026-03-28,Groceries,33.99,Belfast,Card,False
C0355,2025-04-21,Groceries,74.06,Manchester,Online,False
C0356,2025-07-29,Books,79.95,Manchester,Card,False
C0357,2025-06-25,Apparel,65.19,Glasgow,Card,False
C0358,2025-10-02,Apparel,24.45,Glasgow,Online,False
C0359,2026-03-19,Electronics,95.53,Belfast,Online,False
C0360,2025-10-06,Apparel,118.4,Belfast,Card,True
C0361,2025-05-18,Apparel,18.27,Belfast,Cash,False
C0362,2025-06-24,Groceries,11.25,Manchester,Cash,False
C0363,2025-09-06,Apparel,42.53,Glasgow,Card,False
C0364,2025-05-01,Books,30.96,London,Cash,False
C0365,2025-07-29,Books,5.11,Glasgow,Card,False
C0366,2025-05-21,Books,177.83,Manchester,Card,True
C0367,2025-10-21,Groceries,156.12,London,Cash,True
C0368,2025-09-20,Books,54.98,Glasgow,Cash,False
C0369,2026-02-19,Electronics,98.67,London,Cash,False
C0370,2025-07-20,Electronics,69.77,Glasgow,Online,False
C0371,2025-09-08,Apparel,57.36,Belfast,Cash,False
C0372,2025-10-02,Books,12.97,London,Cash,False
C0373,2025-06-16,Electronics,15.61,Belfast,Card,False
C0374,2025-08-31,Apparel,27.2,Glasgow,Cash,False
C0375,2025-11-25,Apparel,17.86,Belfast,Cash,False
C0376,2026-02-01,Apparel,66.02,London,Cash,False
C0377,2025-07-25,Electronics,11.05,Glasgow,Online,False
C0378,2025-06-27,Groceries,10.5,London,Online,False
C0379,2025-05-19,Books,82.92,Manchester,Cash,False
C0380,2026-03-28,Electronics,5.28,Belfast,Card,False
C0381,2026-03-13,Apparel,9.72,London,Card,False
C0382,2025-06-07,Groceries,2.25,Glasgow,Card,False
C0383,2026-01-15,Apparel,129.55,London,Online,True
C0384,2025-10-24,Apparel,24.31,Belfast,Online,False
C0385,2025-12-31,Groceries,12.72,Manchester,Card,False
C0386,2025-06-30,Groceries,14.09,Belfast,Cash,False
C0387,2025-12-30,Apparel,74.3,London,Card,False
C0388,2025-10-29,Books,54.15,London,Online,False
C0389,2025-11-06,Electronics,56.73,London,Card,False
C0390,2025-12-03,Electronics,11.24,London,Card,False
C0391,2025-07-13,Books,152.36,Manchester,Card,True
C0392,2025-05-05,Groceries,1.21,Belfast,Cash,False
C0393,2025-06-29,Groceries,49.57,Glasgow,Card,False
C0394,2025-10-13,Books,131.69,Belfast,Card,True
C0395,2025-12-25,Electronics,54.42,Manchester,Cash,False
C0396,2025-12-17,Apparel,41.35,London,Card,False
C0397,2025-11-20,Groceries,3.59,Belfast,Online,False
C0398,2026-01-23,Books,41.86,Manchester,Online,False
C0399,2025-10-04,Electronics,1.88,Manchester,Online,False
C0400,2025-05-20,Apparel,31.85,Glasgow,Card,False
C0401,2026-01-20,Apparel,52.55,London,Online,False
C0402,2026-03-19,Electronics,38.02,Manchester,Online,False
C0403,2026-02-07,Books,8.93,Belfast,Cash,False
C0404,2025-12-03,Groceries,33.27,Belfast,Cash,False
C0405,2025-09-21,Books,86.59,Manchester,Card,False
C0406,2025-07-16,Apparel,18.55,Manchester,Online,False
C0407,2025-07-23,Groceries,9.96,London,Card,False
C0408,2025-11-26,Electronics,116.4,Manchester,Cash,True
C0409,2026-02-20,Groceries,0.95,Glasgow,Card,False
C0410,2026-02-01,Books,11.2,London,Cash,False
C0411,2025-04-13,Apparel,30.91,Glasgow,Card,False
C0412,2025-10-13,Apparel,97.65,Belfast,Online,False
C0413,2025-10-03,Electronics,7.42,London,Cash,False
C0414,2025-06-06,Groceries,201.49,Glasgow,Card,True
C0415,2025-08-15,Books,95.7,Glasgow,Cash,False
C0416,2026-02-05,Books,8.05,Manchester,Card,False
C0417,2025-12-06,Groceries,102.14,Glasgow,Card,False
C0418,2025-12-02,Electronics,72.84,Belfast,Card,False
C0419,2025-12-04,Electronics,55.85,Belfast,Online,False
C0420,2026-03-22,Apparel,84.99,Belfast,Card,False
C0421,2025-04-23,Apparel,52.91,Manchester,Cash,False
C0422,2025-07-02,Electronics,99.27,Manchester,Cash,False
C0423,2026-01-25,Groceries,74.93,Manchester,Card,False
C0424,2025-04-07,Groceries,64.29,London,Online,False
C0425,2025-11-21,Books,50.12,Glasgow,Cash,False
C0426,2026-01-07,Apparel,92.83,London,Online,False
C0427,2026-01-24,Apparel,10.99,Belfast,Card,False
C0428,2026-03-16,Groceries,23.14,London,Cash,False
C0429,2025-05-01,Apparel,62.7,London,Card,False
C0430,2025-05-10,Groceries,48.28,Belfast,Cash,False
C0431,2025-10-28,Apparel,34.15,London,Cash,False
C0432,2025-12-14,Electronics,8.34,Belfast,Cash,False
C0433,2025-05-14,Apparel,16.72,Belfast,Card,False
C0434,2025-10-31,Groceries,43.43,Manchester,Cash,False
C0435,2025-09-20,Electronics,31.2,Manchester,Online,False
C0436,2025-04-24,Groceries,20.99,Belfast,Online,False
C0437,2026-02-05,Electronics,397.1,Glasgow,Card,True
C0438,2025-12-31,Books,16.98,Belfast,Cash,False
C0439,2025-07-18,Apparel,7.45,Belfast,Online,False
C0440,2026-03-13,Apparel,32.08,Glasgow,Card,False
C0441,2025-10-21,Electronics,59.77,Glasgow,Cash,False
C0442,2025-12-24,Groceries,15.93,Manchester,Online,False
C0443,2025-06-04,Apparel,98.85,Belfast,Card,False
C0444,2026-02-02,Apparel,6.71,Belfast,Cash,False
C0445,2025-08-30,Electronics,52.89,London,Online,False
C0446,2025-12-28,Apparel,10.65,Belfast,Online,False
C0447,2025-11-13,Books,65.88,Belfast,Card,False
C0448,2025-11-19,Books,45.02,Manchester,Online,False
C0449,2025-12-06,Electronics,79.72,Manchester,Cash,False
C0450,2025-11-03,Electronics,26.13,Glasgow,Online,False
C0451,2025-04-22,Books,112.44,Glasgow,Cash,True
C0452,2025-12-21,Groceries,23.01,London,Card,False
C0453,2026-04-05,Apparel,28.96,London,Online,False
C0454,2026-02-26,Electronics,69.23,Glasgow,Online,False
C0455,2025-08-07,Electronics,47.8,Manchester,Online,False
C0456,2025-06-13,Apparel,123.76,Manchester,Online,True
C0457,2025-10-23,Apparel,6.28,London,Online,False
C0458,2025-10-13,Books,18.76,Belfast,Online,False
C0459,2025-10-13,Apparel,150.48,London,Cash,True
C0460,2025-10-01,Apparel,5.04,Manchester,Online,False
C0461,2025-11-05,Electronics,93.23,Belfast,Online,False
C0462,2025-07-31,Apparel,9.66,London,Cash,False
C0463,2025-12-25,Groceries,21.16,Belfast,Cash,False
C0464,2025-08-14,Apparel,83.98,London,Online,False
C0465,2025-06-10,Books,66.4,London,Online,False
C0466,2025-10-05,Apparel,2.32,Belfast,Cash,False
C0467,2026-03-22,Books,7.21,London,Online,False
C0468,2025-07-15,Apparel,31.9,London,Card,False
C0469,2025-12-23,Electronics,9.35,London,Cash,False
C0470,2025-07-03,Electronics,11.56,Manchester,Cash,False
C0471,2025-08-17,Books,1.0,Glasgow,Cash,False
C0472,2025-08-19,Groceries,38.81,Belfast,Cash,False
C0473,2025-08-26,Groceries,17.02,Glasgow,Cash,False
C0474,2025-05-03,Books,29.77,Manchester,Card,False
